Run ,t_video_s,H2_ml,O2_ml
1,0,0,0
1,20,0.7,0.3
1,40,1.6,0.8
1,60,2.5,1.1
1,80,3.3,1.7
1,100,4.2,2
1,120,5.1,2.4
1,140,5.9,2.8
1,160,6.8,3.2
1,180,7.7,3.7
1,200,8.5,4
1,220,9.3,4.3
1,240,9.9,4.7
1,260,10.7,5.1
1,280,11.5,5.5
1,300,12.1,5.9
1,320,12.9,6.2
1,340,13.5,6.5
1,360,14.2,6.8
1,380,14.8,7.1
1,400,15.4,7.5
,,,
Run ,t_video_s,H2_ml,O2_ml
2,0,0,0
2,20,0.5,0.2
2,40,1.3,0.7
2,60,2.1,1
2,80,3,1.4
2,100,3.9,1.8
2,120,4.8,2.1
2,140,5.7,2.6
2,160,6.5,2.9
2,180,7.2,3.1
2,200,8,3.5
2,220,8.8,3.9
2,240,9.6,4.3
2,260,10.3,4.7
2,280,11,5
2,300,11.7,5.3
2,320,12.4,5.7
2,340,12.9,6
2,360,13.7,6.3
2,380,14.2,6.7
2,400,14.8,6.9
,,,
Run ,t_video_s,H2_ml,O2_ml
3,0,0,0
3,20,0.5,0.2
3,40,1.2,0.7
3,60,2,1
3,80,2.8,1.3
3,100,3.7,1.7
3,120,4.5,2
3,140,5.3,2.3
3,160,6,2.7
3,180,6.8,3
3,200,7.6,3.3
3,220,8.3,3.7
3,240,9,4
3,260,9.8,4.3
3,280,10.4,4.7
3,300,11.1,5
3,320,11.8,5.2
3,340,12.4,5.6
3,360,13,5.9
3,380,13.7,6.2
3,400,14.2,6.6
3,420,14.9,6.9
3,440,15.4,7.2
3,460,15.9,7.5
,,,
Run ,t_video_s,H2_ml,O2_ml
4,0,0,0
4,20,0.3,0.1
4,40,1,0.7
4,60,1.9,1
4,80,1.7,1.2
4,100,3.2,1.7
4,120,4.1,2
4,140,4.9,2.3
4,160,5.7,2.7
4,180,6.3,3
4,200,7,3.3
4,220,7.8,3.6
4,240,8.5,3.9
4,260,9.1,4.2
4,280,9.8,4.6
4,300,10.4,4.9
4,320,11,5.2
4,340,11.7,5.5
4,360,12.2,5.8
4,380,12.9,6.1
4,400,13.5,6.4
4,420,13.9,6.7
4,440,14.7,6.9
4,460,15.1,7.3
4,480,15.8,7.7
,,,
Run ,t_video_s,H2_ml,O2_ml
5,0,0,0
5,20,0.5,0.2
5,40,1,0.4
5,60,1.8,0.8
5,80,2.5,1
5,100,3.1,1.2
5,120,3.9,1.7
5,140,4.6,1.9
5,160,5.2,2.1
5,180,6,2.5
5,200,6.6,2.8
5,220,7.1,3
5,240,7.8,3.2
5,260,8.4,3.6
5,280,9,3.9
5,300,9.7,4.1
5,320,10.1,4.4
5,340,10.8,4.8
5,360,11.3,5
5,380,11.9,5.2
5,400,12.5,5.6
5,420,13,6
5,440,13.6,6.2
5,460,14,6.5
5,480,14.7,7
5,500,15.1,7.1
